expiration;strike;type;mark;Vol_impli
2025-05-30;225.0;put;29.1;0.3748717694028115
2025-05-30;230.0;call;0.95;0.36220111148322187
2025-05-30;230.0;put;33.55;0.37156881997666336
2025-05-30;235.0;call;0.64;0.36418842170503024
2025-05-30;235.0;put;38.1;0.3605133647635305
2025-05-30;240.0;call;0.44;0.3684407565602962
2025-05-30;240.0;put;42.83;0.3533401196009146
2025-05-30;245.0;call;0.31;0.37446461904582046
2025-05-30;245.0;put;47.6;0.3277364255710265
2025-05-30;250.0;call;0.23;0.3833907563378921
2025-05-30;250.0;put;52.95;0.43767052049457833
2025-05-30;255.0;call;0.16;0.3880285572776781
2025-05-30;255.0;put;57.52;0.35111683666328064
2025-05-30;260.0;call;0.11;0.3919518798674071
2025-05-30;260.0;put;63.1;0.522908857273594
2025-05-30;265.0;call;0.1;0.4098420507838452
2025-05-30;265.0;put;68.55;0.6132998681206363
2025-05-30;270.0;call;0.07;0.4135640953794104
2025-05-30;270.0;put;73.05;0.5736382988633231
2025-05-30;275.0;call;0.06;0.4267654454625215
2025-05-30;275.0;put;77.58;0.49047491142666105
2025-05-30;280.0;call;0.07;0.4547653922011084
2025-05-30;280.0;put;83.03;0.6259656804975776
2025-05-30;285.0;call;0.06;0.46642028910431127
2025-05-30;285.0;put;87.47;0.4911968216835194
2025-05-30;290.0;call;0.05;0.47600754478483553
2025-05-30;290.0;put;93.17;0.7032466306758889
2025-05-30;295.0;call;0.04;0.48302851366854843
2025-05-30;295.0;put;98.03;0.705127281766829
2025-05-30;300.0;call;0.03;0.4865713466306544
2025-05-30;300.0;put;103.08;0.7395561987206136
2025-05-30;305.0;call;0.01;0.4563749079775376
2025-05-30;305.0;put;107.9;0.7294138966707652
2025-05-30;310.0;call;0.03;0.5200790695085642
2025-05-30;310.0;put;113.07;0.7871693920967431
2025-05-30;315.0;call;0.01;0.48671295004061754
2025-05-30;315.0;put;118.17;0.8290056159090472
2025-05-30;320.0;call;0.01;0.5014437367228181
2025-05-30;320.0;put;122.53;0.6955683529484813
2025-05-30;325.0;call;0.01;0.5158976292060925
2025-05-30;325.0;put;127.45;0.6826731708444918
2025-06-20;10.0;put;0.01;2.451479887339504
2025-06-20;15.0;put;0.01;2.104182660834548
2025-06-20;20.0;put;0.01;1.8632075990843595
2025-06-20;25.0;put;0.01;1.6790377875037237
2025-06-20;30.0;put;0.01;1.5301571280164878
2025-06-20;35.0;put;0.01;1.4052909507298905
2025-06-20;40.0;put;0.01;1.2978017712524335
2025-06-20;45.0;put;0.01;1.2034561329756412
2025-06-20;50.0;put;0.01;1.1193904961703915
2025-06-20;55.0;call;142.18;0.9446198638279046
2025-06-20;55.0;put;0.03;1.1484467580812499
2025-06-20;60.0;call;137.25;1.1384009838328948
2025-06-20;60.0;put;0.03;1.0727728999363564
2025-06-20;65.0;call;132.28;1.0876100728012748
2025-06-20;65.0;put;0.04;1.0316818095517148
2025-06-20;70.0;call;127.32;1.05103818213852
2025-06-20;70.0;put;0.04;0.9657840909317328
2025-06-20;75.0;call;122.35;0.9992995067000752
2025-06-20;75.0;put;0.07;0.9589905610146471
2025-06-20;80.0;call;117.47;1.0218744775554294
2025-06-20;80.0;put;0.09;0.924268816360483
2025-06-20;85.0;call;112.57;1.0042557226564812
2025-06-20;85.0;put;0.1;0.8767336259312937
2025-06-20;90.0;call;107.6;0.9472540134219091
2025-06-20;90.0;put;0.14;0.8556337565775884
2025-06-20;95.0;call;102.67;0.9092957645659436
2025-06-20;95.0;put;0.17;0.8214681623923044
2025-06-20;100.0;call;97.6;0.815547040013848
2025-06-20;100.0;put;0.22;0.7959752635233377
2025-06-20;105.0;call;93.22;0.9301176061327611
2025-06-20;105.0;put;0.28;0.7703454307489209
2025-06-20;110.0;call;87.95;0.807849944069613
2025-06-20;110.0;put;0.34;0.7408070554263037
2025-06-20;115.0;call;83.35;0.8296248926280809
2025-06-20;115.0;put;0.42;0.7144784249489433
2025-06-20;120.0;call;78.22;0.7482260990011401
2025-06-20;120.0;put;0.51;0.6872413178324897
2025-06-20;125.0;call;73.35;0.7140031039690905
2025-06-20;125.0;put;0.62;0.6611027100576741
2025-06-20;130.0;call;68.55;0.6880389833911135
2025-06-20;130.0;put;0.77;0.6385172218209176
2025-06-20;135.0;call;63.8;0.6645898392086027
2025-06-20;135.0;put;0.94;0.6146312751923046
2025-06-20;140.0;call;58.9;0.6216290586339738
2025-06-20;140.0;put;1.15;0.5917723795656903
2025-06-20;145.0;call;54.17;0.5948749280247578
2025-06-20;145.0;put;1.41;0.5699190658749577
2025-06-20;150.0;call;49.58;0.5761399452808644
2025-06-20;150.0;put;1.72;0.5479920975345646
2025-06-20;155.0;call;45.08;0.5583108002577813
2025-06-20;155.0;put;2.15;0.5304517674202712
2025-06-20;160.0;call;40.62;0.537250668691656
2025-06-20;160.0;put;2.65;0.5115962057386081
2025-06-20;165.0;call;36.3;0.5185634415582524
2025-06-20;165.0;put;3.25;0.49266026374947397
2025-06-20;170.0;call;32.0;0.4949647792038813
2025-06-20;170.0;put;4.05;0.4776286025335478
2025-06-20;175.0;call;28.05;0.48115616213733153
2025-06-20;175.0;put;4.95;0.4599231100783556
2025-06-20;180.0;call;24.2;0.463837850794362
2025-06-20;180.0;put;6.1;0.44522522521692176
2025-06-20;185.0;call;20.57;0.44725101427854513
2025-06-20;185.0;put;7.4;0.42813956092053435
2025-06-20;190.0;call;17.1;0.4282559704765589
2025-06-20;190.0;put;9.03;0.4142871109061009
2025-06-20;195.0;call;14.0;0.41309098380645043
2025-06-20;195.0;put;10.9;0.39925170127455606
2025-06-20;200.0;call;11.18;0.3975818228739216
2025-06-20;200.0;put;13.1;0.3851638370835069
2025-06-20;205.0;call;8.7;0.3829133587264444
2025-06-20;205.0;put;15.62;0.3709015921533222
2025-06-20;210.0;call;6.58;0.36921654430176093
2025-06-20;210.0;put;18.52;0.3579324831999376
2025-06-20;215.0;call;4.85;0.35750152084167963
2025-06-20;215.0;put;21.93;0.3511873565856041
2025-06-20;220.0;call;3.5;0.34823839761081926
2025-06-20;220.0;put;25.75;0.34905802268973407
2025-06-20;225.0;call;2.48;0.34113222261817855
2025-06-20;225.0;put;29.7;0.34149722550959294
2025-06-20;230.0;call;1.71;0.33463522376027643
2025-06-20;230.0;put;34.1;0.3458812169975002
2025-06-20;235.0;call;1.19;0.3318443981136661
2025-06-20;235.0;put;38.73;0.35655112101808084
2025-06-20;240.0;call;0.85;0.33269139706017214
2025-06-20;240.0;put;43.5;0.3717380156576206
2025-06-20;245.0;call;0.6;0.33339766025960027
2025-06-20;245.0;put;48.08;0.3671274227949132
2025-06-20;250.0;call;0.44;0.33702511303582183
2025-06-20;250.0;put;53.3;0.4136074579311578
2025-06-20;255.0;call;0.33;0.34192348059740896
2025-06-20;255.0;put;58.25;0.4363736414249579
2025-06-20;260.0;call;0.25;0.3471278950567521
2025-06-20;260.0;put;63.12;0.45060721102946144
2025-06-20;265.0;call;0.2;0.35484324456891814
2025-06-20;265.0;put;67.75;0.435718876356116
2025-06-20;270.0;call;0.16;0.36203015804657196
2025-06-20;270.0;put;72.97;0.4849667854108188
2025-06-20;275.0;call;0.14;0.37311997762777943
2025-06-20;275.0;put;78.1;0.5223834618767553
2025-06-20;280.0;call;0.12;0.38258125953294564
2025-06-20;280.0;put;83.03;0.5384309594536872
2025-06-20;285.0;call;0.1;0.39015289557311317
2025-06-20;285.0;put;88.08;0.5665858866663975
2025-06-20;290.0;call;0.09;0.4008984617388573
2025-06-20;290.0;put;93.0;0.5802060757601587
2025-06-20;295.0;call;0.07;0.4043638474659495
2025-06-20;295.0;put;98.03;0.6053928753386284
2025-06-20;300.0;call;0.07;0.41902006178899537
2025-06-20;300.0;put;102.97;0.6199635851712949
2025-06-20;310.0;call;0.06;0.43997401494093547
2025-06-20;310.0;put;112.95;0.6591099343451043
2025-06-20;320.0;call;0.04;0.4478616691418124
2025-06-20;320.0;put;122.88;0.6904852924918924
2025-06-20;330.0;call;0.03;0.46000329167139287
2025-06-20;330.0;put;132.95;0.7377827368711003
2025-06-20;340.0;call;0.03;0.48357948740996154
2025-06-20;340.0;put;142.97;0.7776542321062715
2025-06-20;350.0;call;0.02;0.4882931028441969
2025-06-20;350.0;put;153.03;0.8212141768975422
2025-06-20;360.0;call;0.01;0.48139067418912823
2025-06-20;360.0;put;162.95;0.8466393676001289
2025-07-18;90.0;call;108.0;0.850471868088626
2025-07-18;90.0;put;0.26;0.7603330196742435
2025-07-18;95.0;call;103.1;0.8150599195667643
2025-07-18;95.0;put;0.32;0.7343787532890547
2025-07-18;100.0;call;98.53;0.8384754235826707
2025-07-18;100.0;put;0.4;0.7117557364575098
2025-07-18;105.0;call;93.45;0.7691294406443003
2025-07-18;105.0;put;0.47;0.6836218196546601
2025-07-18;110.0;call;88.62;0.7409976282425329
2025-07-18;110.0;put;0.57;0.6602809305934456
2025-07-18;115.0;call;84.03;0.7399567495451878
2025-07-18;115.0;put;0.68;0.6361669505372685
2025-07-18;120.0;call;79.03;0.6880968081358805
2025-07-18;120.0;put;0.82;0.6143165946791511
2025-07-18;125.0;call;74.1;0.6455393490319415
2025-07-18;125.0;put;1.0;0.5948019590386908
2025-07-18;130.0;call;69.38;0.6233608798147733
2025-07-18;130.0;put;1.2;0.5742016807244614
2025-07-18;135.0;call;64.88;0.6155274317229162
2025-07-18;135.0;put;1.44;0.5543940343719022
2025-07-18;140.0;call;60.03;0.5779931979450439
2025-07-18;140.0;put;1.73;0.5354886598071655
2025-07-18;145.0;call;55.45;0.5575378823772483
2025-07-18;145.0;put;2.09;0.5181012470085112
2025-07-18;150.0;call;50.95;0.5384237262710782
2025-07-18;150.0;put;2.52;0.5012045278100237
2025-07-18;155.0;call;46.52;0.5193382390185354
2025-07-18;155.0;put;3.02;0.4841072115323485
2025-07-18;160.0;call;42.17;0.5002668600092902
2025-07-18;160.0;put;3.65;0.4691312597806051
2025-07-18;165.0;call;38.05;0.4867077511143364
2025-07-18;165.0;put;4.4;0.45461645380320825
2025-07-18;170.0;call;33.9;0.46725819277621494
2025-07-18;170.0;put;5.25;0.4390750916665891
2025-07-18;175.0;call;29.98;0.45147796556976927
2025-07-18;175.0;put;6.3;0.4255730112731394
2025-07-18;180.0;call;26.27;0.4373779842099025
2025-07-18;180.0;put;7.62;0.4151880051901095
2025-07-18;185.0;call;22.68;0.42144994246968426
2025-07-18;185.0;put;8.98;0.39993890526309706
2025-07-18;190.0;call;19.4;0.4086845858725552
2025-07-18;190.0;put;10.62;0.3867320987484633
2025-07-18;195.0;call;16.3;0.39465376509766154
2025-07-18;195.0;put;12.52;0.37413888594480105
2025-07-18;200.0;call;13.5;0.38211711414642957
2025-07-18;200.0;put;14.75;0.3634085637370414
2025-07-18;205.0;call;10.98;0.3700456593814112
2025-07-18;205.0;put;17.2;0.3511373053645983
2025-07-18;210.0;call;8.73;0.35783315368070107
2025-07-18;210.0;put;19.95;0.3390937727937894
2025-07-18;215.0;call;6.8;0.34666003642595833
2025-07-18;215.0;put;23.25;0.3343388624253368
2025-07-18;220.0;call;5.17;0.336055754843978
2025-07-18;220.0;put;26.8;0.32920480251659556
2025-07-18;225.0;call;3.92;0.3291868813654602
2025-07-18;225.0;put;30.5;0.32074898531070917
2025-07-18;230.0;call;2.9;0.3222609286570535
2025-07-18;230.0;put;34.75;0.3244192514673572
2025-07-18;235.0;call;2.14;0.31769269497933333
2025-07-18;235.0;put;38.67;0.3064994079850625
2025-07-18;240.0;call;1.57;0.31444150976512103
2025-07-18;240.0;put;43.4;0.3191807016904727
2025-07-18;245.0;call;1.16;0.31308362639285087
2025-07-18;245.0;put;48.38;0.34322010537268427
2025-07-18;250.0;call;0.86;0.3127909336190362
2025-07-18;250.0;put;53.02;0.3459376062828586
2025-07-18;255.0;call;0.65;0.3142334929812028
2025-07-18;255.0;put;57.83;0.35609368666069285
2025-07-18;260.0;call;0.51;0.3180191973169899
2025-07-18;260.0;put;63.15;0.3997387507716421
2025-07-18;265.0;call;0.39;0.32023316490646914
2025-07-18;265.0;put;68.05;0.4150743031708373
2025-07-18;270.0;call;0.3;0.32274882070706234
2025-07-18;270.0;put;73.15;0.44306855873742906
2025-07-18;275.0;call;0.25;0.32908180020696426
2025-07-18;275.0;put;78.2;0.4672747194707322
2025-07-18;280.0;call;0.2;0.33308346917473713
2025-07-18;280.0;put;83.1;0.48088601047999796
2025-07-18;285.0;call;0.16;0.3368604026664106
2025-07-18;285.0;put;87.88;0.4847340238426088
2025-07-18;290.0;call;0.14;0.3443437796189948
2025-07-18;290.0;put;92.95;0.5093082143810717
2025-07-18;295.0;call;0.12;0.35053120102278235
2025-07-18;295.0;put;97.9;0.5244462119164135
2025-07-18;300.0;call;0.1;0.35518741793434416
2025-07-18;300.0;put;102.97;0.5483424780698556
2025-07-18;305.0;call;0.09;0.36278257959910176
2025-07-18;305.0;put;107.75;0.5491260387641199
2025-07-18;310.0;call;0.07;0.3640718273141531
2025-07-18;310.0;put;113.0;0.5867586314835243
2025-07-18;315.0;call;0.08;0.38088094130238825
2025-07-18;315.0;put;117.93;0.5989226239781721
2025-07-18;320.0;call;0.06;0.37998027857377026
2025-07-18;320.0;put;123.28;0.6423049217220798
2025-07-18;325.0;call;0.07;0.39709794346896743
2025-07-18;325.0;put;128.18;0.6521619829316576
2025-07-18;330.0;call;0.04;0.38494852016688735
2025-07-18;330.0;put;133.0;0.6552847086419664
2025-07-18;340.0;call;0.04;0.4046276102541604
2025-07-18;340.0;put;143.0;0.6878545843540771
2025-07-18;350.0;call;0.04;0.4236072077631671
2025-07-18;350.0;put;152.98;0.717823573144856
2025-07-18;360.0;call;0.01;0.39202583305921945
2025-07-18;360.0;put;162.95;0.7460175644282184
2025-07-18;370.0;call;0.01;0.4081339707549428
2025-07-18;370.0;put;173.03;0.7821320709163706
2025-07-18;380.0;call;0.01;0.4237387657991179
2025-07-18;380.0;put;182.9;0.8005395946072755
2025-07-18;390.0;call;0.02;0.4640739783031955
2025-07-18;390.0;put;193.05;0.8407719518007605
2025-07-18;400.0;call;0.01;0.4535578589681837
2025-07-18;400.0;put;202.9;0.8560557289960352
2025-08-15;90.0;call;108.3;0.7708664768488838
2025-08-15;90.0;put;0.42;0.708488361379931
2025-08-15;95.0;call;103.72;0.7851428130070628
2025-08-15;95.0;put;0.51;0.6854857643716628
2025-08-15;100.0;call;98.78;0.7402634176429758
2025-08-15;100.0;put;0.6;0.6603758627994298
2025-08-15;105.0;call;94.07;0.7245880462276532
2025-08-15;105.0;put;0.72;0.6388229108585195
2025-08-15;110.0;call;88.95;0.6618205419021743
2025-08-15;110.0;put;0.86;0.6179401068829663
2025-08-15;115.0;call;84.6;0.6786140800995203
2025-08-15;115.0;put;1.04;0.5996695895678161
2025-08-15;120.0;call;79.6;0.6314619517068406
2025-08-15;120.0;put;1.23;0.579723564134785
2025-08-15;125.0;call;74.9;0.6094770548250256
2025-08-15;125.0;put;1.47;0.5620293864205134
2025-08-15;130.0;call;70.25;0.5890283633445358
2025-08-15;130.0;put;1.74;0.5439834612904377
2025-08-15;135.0;call;65.65;0.5694677524763465
2025-08-15;135.0;put;2.06;0.5267769545314069
2025-08-15;140.0;call;61.1;0.5503159531134284
2025-08-15;140.0;put;2.46;0.5116002739337896
2025-08-15;145.0;call;56.62;0.532172451674051
2025-08-15;145.0;put;2.9;0.49535876833443027
2025-08-15;150.0;call;52.2;0.5140580685368226
2025-08-15;150.0;put;3.42;0.47989406517394095
2025-08-15;155.0;call;47.85;0.49606868655515585
2025-08-15;155.0;put;4.08;0.4670936296395657
2025-08-15;160.0;call;43.73;0.48358033266970646
2025-08-15;160.0;put;4.8;0.4528113820700021
2025-08-15;165.0;call;39.65;0.468678527989368
2025-08-15;165.0;put;5.67;0.4400897627838877
2025-08-15;170.0;call;35.65;0.45277036305542645
2025-08-15;170.0;put;6.67;0.4275082335135483
2025-08-15;175.0;call;31.88;0.4399156446429316
2025-08-15;175.0;put;7.83;0.41548024753398777
2025-08-15;180.0;call;28.25;0.42678837945191694
2025-08-15;180.0;put;9.15;0.40348293046341643
2025-08-15;185.0;call;24.9;0.4165766212203066
2025-08-15;185.0;put;10.7;0.39286958801205946
2025-08-15;190.0;call;21.58;0.40254152534652754
2025-08-15;190.0;put;12.45;0.3823359702206261
2025-08-15;195.0;call;18.6;0.39197400358613504
2025-08-15;195.0;put;14.38;0.37106119381050123
2025-08-15;200.0;call;15.82;0.3810912239631908
2025-08-15;200.0;put;16.57;0.3606014497052335
2025-08-15;205.0;call;13.27;0.3703358828492368
2025-08-15;205.0;put;19.0;0.3501754693493778
2025-08-15;210.0;call;10.95;0.3594875088702786
2025-08-15;210.0;put;21.7;0.340249753065093
2025-08-15;215.0;call;8.93;0.350057068677692
2025-08-15;215.0;put;24.7;0.3314403647600928
2025-08-15;220.0;call;7.15;0.3406375030505923
2025-08-15;220.0;put;28.2;0.32905807686188177
2025-08-15;225.0;call;5.67;0.33293956117834755
2025-08-15;225.0;put;31.62;0.31862694164026406
2025-08-15;230.0;call;4.42;0.32555801888183755
2025-08-15;230.0;put;35.48;0.31422463259053335
2025-08-15;235.0;call;3.45;0.3207085575025908
2025-08-15;235.0;put;39.52;0.3095447750385633
2025-08-15;240.0;call;2.62;0.314730702383009
2025-08-15;240.0;put;44.02;0.316090119809939
2025-08-15;245.0;call;2.01;0.3114435485095042
2025-08-15;245.0;put;48.8;0.33078223442268406
2025-08-15;250.0;call;1.54;0.30914775303308395
2025-08-15;250.0;put;53.33;0.33286783200758363
2025-08-15;255.0;call;1.2;0.308875534363708
2025-08-15;255.0;put;58.2;0.34795313993503435
2025-08-15;260.0;call;0.94;0.30934210259483025
2025-08-15;260.0;put;63.1;0.3634801143045031
2025-08-15;265.0;call;0.73;0.3095159922981232
2025-08-15;265.0;put;67.78;0.36635481999033587
2025-08-15;270.0;call;0.57;0.31023671667543085
2025-08-15;270.0;put;73.17;0.4061649219735695
2025-08-15;275.0;call;0.46;0.3128399311916587
2025-08-15;275.0;put;78.05;0.4187917906598831
2025-08-15;280.0;call;0.38;0.31652345043517605
2025-08-15;280.0;put;83.0;0.43445741864117865
2025-08-15;285.0;call;0.3;0.31779966100541285
2025-08-15;285.0;put;88.03;0.4540275531993784
2025-08-15;290.0;call;0.27;0.3251839058073846
2025-08-15;290.0;put;92.95;0.4671349970643325
2025-08-15;295.0;call;0.23;0.3296247891208172
2025-08-15;295.0;put;98.03;0.48879366227991716
2025-08-15;300.0;call;0.18;0.3300577627142045
2025-08-15;300.0;put;102.88;0.49707061107130246
2025-08-15;305.0;call;0.16;0.33594046675542333
2025-08-15;305.0;put;108.15;0.5288849066644965
2025-08-15;310.0;call;0.14;0.34086537851482046
2025-08-15;310.0;put;112.78;0.5237124008157479
2025-08-15;315.0;call;0.12;0.3446870814681956
2025-08-15;315.0;put;118.08;0.5571889400547861
2025-08-15;320.0;call;0.11;0.35104961197686024
2025-08-15;320.0;put;123.17;0.577932387872252
2025-08-15;325.0;call;0.1;0.35681512856266645
2025-08-15;325.0;put;128.05;0.5865122888616713
2025-08-15;330.0;call;0.1;0.36626180984933154
2025-08-15;330.0;put;132.9;0.5927823441611854
2025-08-15;340.0;call;0.07;0.36993219915379094
2025-08-15;340.0;put;143.02;0.6293708683837234
2025-08-15;350.0;call;0.06;0.3809772767792654
2025-08-15;350.0;put;152.8;0.6445836409267278
2025-08-15;360.0;call;0.04;0.38183852325500983
2025-08-15;360.0;put;163.05;0.687421284108733
2025-08-15;370.0;call;0.04;0.3971913176763886
2025-08-15;370.0;put;172.82;0.7003523795331134
2025-08-15;380.0;call;0.04;0.4120520864573853
2025-08-15;380.0;put;183.18;0.7481487035984901
2025-08-15;390.0;call;0.03;0.41542234029699326
2025-08-15;390.0;put;193.02;0.7641832762266588
2025-09-19;5.0;put;0.01;1.8976054948729875
2025-09-19;10.0;put;0.01;1.5158694939868378
2025-09-19;15.0;put;0.01;1.3014376672863668
