contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL250417C00160000,AAPL,2025-04-17,160.00,call,37.27,36.88,34.90,1,38.85,105,26,1028,2025-04-17,1.50657,1.00000,0.00000,-0.01898,0.00000,0.00438
AAPL250417P00160000,AAPL,2025-04-17,160.00,put,0.01,0.01,0.00,0,0.01,452,24,9480,2025-04-17,1.41904,-0.00227,0.00049,-0.05195,0.00073,-0.00001
AAPL250417C00162500,AAPL,2025-04-17,162.50,call,34.80,34.53,34.10,50,34.95,72,1,1468,2025-04-17,1.48977,0.99393,0.00112,-0.15102,0.00177,0.00442
AAPL250417P00162500,AAPL,2025-04-17,162.50,put,0.01,0.01,0.00,0,0.01,524,51,3744,2025-04-17,1.32224,-0.00243,0.00055,-0.05143,0.00078,-0.00001
AAPL250417C00165000,AAPL,2025-04-17,165.00,call,31.90,32.25,31.45,80,33.05,105,862,1507,2025-04-17,1.87787,0.96804,0.00370,-0.71295,0.00739,0.00434
AAPL250417P00165000,AAPL,2025-04-17,165.00,put,0.01,0.01,0.00,0,0.01,2222,535,11277,2025-04-17,1.22636,-0.00260,0.00064,-0.05086,0.00083,-0.00001
AAPL250417C00167500,AAPL,2025-04-17,167.50,call,29.45,29.60,28.95,86,30.25,105,33,695,2025-04-17,1.49784,0.98251,0.00280,-0.35303,0.00445,0.00449
AAPL250417P00167500,AAPL,2025-04-17,167.50,put,0.01,0.01,0.00,0,0.01,365,55,2959,2025-04-17,1.13124,-0.00281,0.00074,-0.05018,0.00089,-0.00002
AAPL250417C00170000,AAPL,2025-04-17,170.00,call,26.90,27.68,26.35,95,29.00,100,929,5201,2025-04-17,1.99341,0.92855,0.00664,-1.42013,0.01406,0.00425
AAPL250417P00170000,AAPL,2025-04-17,170.00,put,0.01,0.01,0.00,0,0.01,679,880,20646,2025-04-17,1.03719,-0.00305,0.00087,-0.04954,0.00096,-0.00002
AAPL250417C00172500,AAPL,2025-04-17,172.50,call,24.60,24.48,23.40,135,25.55,138,57,849,2025-04-17,0.99732,1.00000,0.00000,-0.02046,0.00000,0.00473
AAPL250417P00172500,AAPL,2025-04-17,172.50,put,0.01,0.01,0.00,0,0.01,747,96,3544,2025-04-17,0.94374,-0.00333,0.00103,-0.04879,0.00104,-0.00002
AAPL250417C00175000,AAPL,2025-04-17,175.00,call,21.85,22.60,21.50,71,23.70,139,297,1495,2025-04-17,1.63229,0.92349,0.00854,-1.22832,0.01482,0.00436
AAPL250417P00175000,AAPL,2025-04-17,175.00,put,0.01,0.01,0.00,0,0.01,600,358,9761,2025-04-17,0.85076,-0.00366,0.00125,-0.04790,0.00113,-0.00002
AAPL250417C00177500,AAPL,2025-04-17,177.50,call,19.30,19.92,18.45,108,21.40,105,122,1198,2025-04-17,1.35730,0.93357,0.00921,-0.92174,0.01330,0.00449
AAPL250417P00177500,AAPL,2025-04-17,177.50,put,0.02,0.01,0.00,0,0.01,23,261,4967,2025-04-17,0.75853,-0.00408,0.00154,-0.04703,0.00124,-0.00002
AAPL250417C00180000,AAPL,2025-04-17,180.00,call,16.80,17.00,15.95,106,18.05,106,463,3924,2025-04-17,0.69177,1.00000,0.00000,-0.02135,0.00000,0.00493
AAPL250417P00180000,AAPL,2025-04-17,180.00,put,0.01,0.01,0.00,0,0.01,95,2244,15907,2025-04-17,0.66646,-0.00459,0.00195,-0.04596,0.00138,-0.00003
AAPL250417C00182500,AAPL,2025-04-17,182.50,call,14.35,14.50,13.45,100,15.55,106,243,1563,2025-04-17,0.58992,1.00000,0.00000,-0.02165,0.00000,0.00500
AAPL250417P00182500,AAPL,2025-04-17,182.50,put,0.01,0.01,0.00,0,0.01,352,6831,6502,2025-04-17,0.57454,-0.00527,0.00256,-0.04472,0.00156,-0.00003
AAPL250417C00185000,AAPL,2025-04-17,185.00,call,11.73,11.95,10.80,106,13.10,106,1105,4410,2025-04-17,0.48807,1.00000,0.00000,-0.02194,0.00000,0.00507
AAPL250417P00185000,AAPL,2025-04-17,185.00,put,0.01,0.01,0.00,0,0.01,29,13547,14627,2025-04-17,0.48263,-0.00619,0.00351,-0.04334,0.00180,-0.00003
AAPL250417C00187500,AAPL,2025-04-17,187.50,call,9.51,9.15,8.40,137,9.90,88,373,1876,2025-04-17,0.38622,1.00000,0.00000,-0.02224,0.00000,0.00514
AAPL250417P00187500,AAPL,2025-04-17,187.50,put,0.01,0.01,0.00,0,0.01,27,6353,10264,2025-04-17,0.39010,-0.00752,0.00516,-0.04155,0.00214,-0.00004
AAPL250417C00190000,AAPL,2025-04-17,190.00,call,6.95,7.55,6.50,66,8.60,106,2536,10282,2025-04-17,0.67668,0.85075,0.03331,-0.82961,0.02396,0.00438
AAPL250417P00190000,AAPL,2025-04-17,190.00,put,0.01,0.01,0.00,0,0.01,50,30070,18688,2025-04-17,0.29650,-0.00964,0.00844,-0.03923,0.00266,-0.00005
AAPL250417C00192500,AAPL,2025-04-17,192.50,call,4.50,3.98,3.45,198,4.50,1,2617,2680,2025-04-17,0.18252,1.00000,0.00000,-0.02283,0.00000,0.00527
AAPL250417P00192500,AAPL,2025-04-17,192.50,put,0.01,0.01,0.00,0,0.01,60,30657,4325,2025-04-17,0.20077,-0.01370,0.01692,-0.03593,0.00361,-0.00007
AAPL250417C00195000,AAPL,2025-04-17,195.00,call,1.93,1.90,1.80,2,2.00,2,35516,11803,2025-04-17,0.08067,1.00000,0.00000,-0.02313,0.00000,0.00534
AAPL250417P00195000,AAPL,2025-04-17,195.00,put,0.01,0.01,0.00,0,0.01,36,87909,13783,2025-04-17,0.10017,-0.02546,0.05746,-0.03005,0.00612,-0.00014
AAPL250417C00197500,AAPL,2025-04-17,197.50,call,0.05,0.06,0.04,88,0.07,76,82761,6693,2025-04-17,0.05504,0.19149,0.48044,-0.08184,0.02811,0.00103
AAPL250417P00197500,AAPL,2025-04-17,197.50,put,0.52,0.55,0.42,1,0.68,1,46394,4138,2025-04-17,0.05276,-0.81868,0.48460,-0.05250,0.02718,-0.00443
AAPL250417C00200000,AAPL,2025-04-17,200.00,call,0.01,0.01,0.01,12,0.02,218,82482,27254,2025-04-17,0.13904,0.01919,0.03261,-0.03395,0.00482,0.00010
AAPL250417P00200000,AAPL,2025-04-17,200.00,put,2.90,3.10,3.00,6,3.20,11,23600,27188,2025-04-17,0.22120,-0.90287,0.07533,-0.17443,0.01771,-0.00496
AAPL250417C00202500,AAPL,2025-04-17,202.50,call,0.01,0.01,0.01,65,0.02,105,21678,13474,2025-04-17,0.23263,0.01210,0.01312,-0.03801,0.00324,0.00007
AAPL250417P00202500,AAPL,2025-04-17,202.50,put,5.55,5.60,5.50,2,5.70,10,1064,3456,2025-04-17,0.34803,-0.93339,0.03601,-0.20935,0.01332,-0.00519
AAPL250417C00205000,AAPL,2025-04-17,205.00,call,0.01,0.01,0.00,0,0.01,292,12030,22673,2025-04-17,0.32059,0.00907,0.00740,-0.04065,0.00252,0.00005
AAPL250417P00205000,AAPL,2025-04-17,205.00,put,7.95,7.88,6.85,105,8.90,105,5084,15312,2025-04-17,0.32674,-1.00000,0.00000,0.02432,0.00000,-0.00562
AAPL250417C00207500,AAPL,2025-04-17,207.50,call,0.01,0.01,0.00,0,0.01,453,9153,10757,2025-04-17,0.40473,0.00735,0.00487,-0.04261,0.00210,0.00004
AAPL250417P00207500,AAPL,2025-04-17,207.50,put,11.23,10.43,9.30,105,11.55,105,243,1937,2025-04-17,0.42859,-1.00000,0.00000,0.02461,0.00000,-0.00568
AAPL250417C00210000,AAPL,2025-04-17,210.00,call,0.01,0.01,0.00,0,0.01,996,6892,27542,2025-04-17,0.48598,0.00623,0.00351,-0.04419,0.00181,0.00003
AAPL250417P00210000,AAPL,2025-04-17,210.00,put,13.00,13.07,11.80,105,14.35,104,1677,9870,2025-04-17,0.64146,-0.97035,0.01019,-0.19859,0.00695,-0.00559
AAPL250417C00212500,AAPL,2025-04-17,212.50,call,0.01,0.01,0.00,0,0.01,899,7010,14494,2025-04-17,0.56479,0.00544,0.00268,-0.04550,0.00161,0.00003
AAPL250417P00212500,AAPL,2025-04-17,212.50,put,15.65,15.80,15.05,53,16.55,101,208,550,2025-04-17,0.96630,-0.92946,0.01356,-0.64920,0.01393,-0.00545
AAPL250417C00215000,AAPL,2025-04-17,215.00,call,0.01,0.01,0.00,0,0.01,2226,1915,31102,2025-04-17,0.64146,0.00484,0.00213,-0.04659,0.00145,0.00003
AAPL250417P00215000,AAPL,2025-04-17,215.00,put,18.24,18.02,16.75,101,19.30,101,473,12904,2025-04-17,0.71539,-0.98972,0.00370,-0.07546,0.00282,-0.00583
AAPL250417C00217500,AAPL,2025-04-17,217.50,call,0.01,0.01,0.00,0,0.01,699,2354,11844,2025-04-17,0.71631,0.00438,0.00174,-0.04757,0.00133,0.00002
AAPL250417P00217500,AAPL,2025-04-17,217.50,put,20.60,20.35,19.75,120,20.95,59,98,16,2025-04-17,0.83599,-1.00000,0.00000,0.02580,0.00000,-0.00596
AAPL250417C00220000,AAPL,2025-04-17,220.00,call,0.01,0.01,0.00,0,0.01,2095,1741,36623,2025-04-17,0.78948,0.00401,0.00146,-0.04843,0.00122,0.00002
AAPL250417P00220000,AAPL,2025-04-17,220.00,put,23.00,23.52,22.05,101,25.00,101,509,8220,2025-04-17,1.45882,-0.92039,0.00985,-1.08958,0.01527,-0.00561
AAPL250417C00222500,AAPL,2025-04-17,222.50,call,0.01,0.01,0.00,0,0.01,959,1044,9283,2025-04-17,0.86112,0.00371,0.00125,-0.04921,0.00114,0.00002
AAPL250417P00222500,AAPL,2025-04-17,222.50,put,24.55,25.80,24.35,100,27.25,100,6,86,2025-04-17,1.39830,-0.94805,0.00737,-0.74118,0.01096,-0.00582
AAPL250417C00225000,AAPL,2025-04-17,225.00,call,0.01,0.01,0.00,0,0.01,1495,904,31345,2025-04-17,0.93140,0.00345,0.00108,-0.04994,0.00107,0.00002
AAPL250417P00225000,AAPL,2025-04-17,225.00,put,29.00,28.00,27.00,100,29.00,100,121,4784,2025-04-17,0.89573,-0.99753,0.00083,-0.00883,0.00079,-0.00615
AAPL250417C00227500,AAPL,2025-04-17,227.50,call,0.01,0.01,0.00,0,0.01,750,99,7777,2025-04-17,1.00030,0.00324,0.00095,-0.05059,0.00101,0.00002
AAPL250417P00227500,AAPL,2025-04-17,227.50,put,0.00,30.42,29.15,100,31.70,100,0,3,2025-04-17,1.24339,-1.00000,0.00000,0.02699,0.00000,-0.00623
AAPL250417C00230000,AAPL,2025-04-17,230.00,call,0.01,0.01,0.00,0,0.01,4038,1500,31189,2025-04-17,1.06798,0.00305,0.00084,-0.05121,0.00096,0.00002
AAPL250417P00230000,AAPL,2025-04-17,230.00,put,33.10,32.85,31.00,1,34.70,100,92,8428,2025-04-17,1.34524,-1.00000,0.00000,0.02728,0.00000,-0.00630
AAPL250417C00232500,AAPL,2025-04-17,232.50,call,0.01,0.01,0.00,0,0.01,739,105,6012,2025-04-17,1.13444,0.00289,0.00076,-0.05176,0.00091,0.00002
AAPL250417P00232500,AAPL,2025-04-17,232.50,put,0.00,35.42,34.15,100,36.70,100,0,9,2025-04-17,1.44709,-1.00000,0.00000,0.02758,0.00000,-0.00637
AAPL250417C00235000,AAPL,2025-04-17,235.00,call,0.01,0.01,0.00,0,0.01,2231,461,27964,2025-04-17,1.19983,0.00274,0.00068,-0.05229,0.00087,0.00001
AAPL250417P00235000,AAPL,2025-04-17,235.00,put,37.69,38.00,37.50,83,38.50,66,9,4912,2025-04-17,1.17316,-0.99775,0.00058,-0.01477,0.00073,-0.00643
AAPL250417C00237500,AAPL,2025-04-17,237.50,call,0.01,0.01,0.00,0,0.01,2124,202,4983,2025-04-17,1.26416,0.00262,0.00062,-0.05278,0.00083,0.00001
AAPL250417P00237500,AAPL,2025-04-17,237.50,put,39.88,40.42,39.15,100,41.70,100,2,0,2025-04-17,1.65079,-1.00000,0.00000,0.02817,0.00000,-0.00651
AAPL250417C00240000,AAPL,2025-04-17,240.00,call,0.01,0.01,0.00,0,0.01,2224,203,47186,2025-04-17,1.32742,0.00250,0.00057,-0.05323,0.00080,0.00001
AAPL250417P00240000,AAPL,2025-04-17,240.00,put,42.75,43.10,42.45,91,43.75,100,39,4420,2025-04-17,1.74570,-0.98278,0.00237,-0.35555,0.00440,-0.00648
AAPL250417C00242500,AAPL,2025-04-17,242.50,call,0.01,0.01,0.00,0,0.01,1945,8,6201,2025-04-17,1.38977,0.00240,0.00052,-0.05367,0.00077,0.00001
